ref,pollster,publisher,fieldwork_start,fieldwork_end,respondents,method,question_type,qid,question,party,party_as_written,seats,pct,undecided_pct,in_model,cec_publish_date
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",זהות,זהות בראשות משה פייגלין,0,1.3,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",כחול לבן,כחול לבן בראשות בני גנץ,0,1.1,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",עמך ישראל,מפלגה בראשות עופר וינטר,0,1.1,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",האחדות,"מפלגה בראשות גלעד ארדן, איילת שקד ויולי אדלשטיין",0,0.9,,1,2026-08-16
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",ישר,ישר בראשות גדי אייזנקוט,21,18.0,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",הליכוד,הליכוד,20,16.4,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",ביחד,ביחד בראשות נפתלי בנט,13,10.6,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",ישראל ביתנו,ישראל ביתנו,10,8.2,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",הדמוקרטים,הדמוקרטים,8,6.6,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?","ש""ס","ש""ס",8,6.6,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",יהדות התורה,יהדות התורה,8,6.6,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",עוצמה יהודית,עוצמה יהודית,7,5.8,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",הרשימה המשותפת,"חד""ש תע""ל בל""ד",6,5.0,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",הציונות הדתית,הציונות הדתית,6,5.0,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?","רע""ם","רע""ם",5,4.4,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",בית ציוני,בית ציוני בהובלת יועז הנדל וחילי טרופר,4,3.4,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,main,1,"אם הבחירות היו מתקיימות היום, וכל המפלגות הקיימות היו מתמודדות בנפרד, למי היית מצביע/ה?",כחול לבן,כחול לבן בהובלת בני גנץ ודדי שמחי,4,3.4,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,ישר,ישר בראשות גדי אייזנקוט,23,18.0,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,הליכוד,הליכוד,20,15.8,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,ביחד,ביחד בראשות נפתלי בנט,14,10.6,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,ישראל ביתנו,ישראל ביתנו,10,7.6,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,הדמוקרטים,הדמוקרטים,8,6.6,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,"ש""ס","ש""ס",8,6.6,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,יהדות התורה,יהדות התורה,8,6.4,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,עוצמה יהודית,עוצמה יהודית,7,5.8,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,הרשימה המשותפת,"חד""ש תע""ל בל""ד",6,5.0,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,הציונות הדתית,הציונות הדתית,6,4.6,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,"רע""ם","רע""ם",5,4.4,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,האחדות,מפלגה בהובלת גלעד ארדן ויולי אדלשטיין,5,4.0,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,בית ציוני,בית ציוני בהובלת יועז הנדל וחילי טרופר,0,2.4,,1,2026-08-04
4042,טאטיקה,זמן ישראל,2026-07-29,2026-07-30,500,mixed,scenario,2,אם הבחירות היו נערכות היום וגלעד ארדן היה מקים מפלגת ימין ממלכתי חדשה בראשותו יחד עם יולי אדלשטיין למי היית מצביע?,כחול לבן,כחול לבן בהובלת בני גנץ ודדי שמחי,0,2.2,,1,2026-08-04
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",ישר,ישר! עם איזנקוט בראשות גדי איזנקוט,23,18.0,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",הליכוד,הליכוד בראשות בנימין נתניהו,22,17.8,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",ביחד,ביחד - בראשות נפתלי בנט,15,11.5,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",ישראל ביתנו,ישראל ביתנו בראשות אביגדור ליברמן,10,7.6,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",הדמוקרטים,הדמוקרטים בראשות יאיר גולן,9,7.3,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",יהדות התורה,יהדות התורה בראשות יצחק גולדקנופף,8,6.1,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",עוצמה יהודית,עוצמה יהודית בראשות איתמר בן גביר,7,5.1,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?","ש""ס",שס בראשות אריה דרעי,7,5.4,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",הרשימה המשותפת,חדש תעל,5,3.9,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?","רע""ם",רעמ בראשות דר מנסור עבאס,5,3.8,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",הציונות הדתית,הציונות הדתית בראשות סמוטריץ,5,4.1,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",בית ציוני,בית ציוני בראשות חילי טרופר ויועז הנדל,4,3.4,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",אחר,"בל""ד בראשות סמי אבו שחאדה",0,0.7,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,main,1,"אם היו מתקיימות היום בחירות לכנסת, לאיזו מפלגה היית מצביע?",כחול לבן,כחול לבן בראשות בני גנץ,0,0.8,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?",הליכוד,הליכוד בראשות בנימין נתניהו,22,17.9,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?",ישר,ישר! עם איזנקוט בראשות גדי איזנקוט,22,17.6,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?",ביחד,מפלגת ביחד - בראשות נפתלי בנט,15,11.3,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?",ישראל ביתנו,ישראל ביתנו בראשות אביגדור ליברמן,10,7.2,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?",הדמוקרטים,הדמוקרטים בראשות יאיר גולן,9,7.3,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?",עוצמה יהודית,עוצמה יהודית בראשות איתמר בן גביר,8,6.2,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?",יהדות התורה,יהדות התורה בראשות יצחק גולדקנופף,8,6.3,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?","ש""ס",שס בראשות אריה דרעי,7,5.3,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?",הציונות הדתית,הציונות הדתית בראשות סמוטריץ,5,4.0,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?","רע""ם",רעמ בראשות דר מנסור עבאס,5,3.8,,1,2026-08-10
4054,לזר מחקרים,מעריב,2026-07-29,2026-07-30,501,internet,scenario,2,"אם לקראת הבחירות לכנסת תקום מפלגה חדשה בראשות בני גנץ, איילת שקד, יולי אדלשטיין ודדי שמחי, שאר המפלגות ללא שינוי למי תצביע?",הרשימה המשותפת,חדש תעל,5,4.0,,1,2026-08-10
